-0.9215 1.505817 0.6235839|-0.1694 1.253922 0.6325022|-1.704381 1.202191 0.6259689|-0.9052665 0.9326684 0.4806374|-0.8831928 0.02187324 0.6425089|-1.05124 0.02028179 0.6184093
-0.9214866 1.505873 0.6236849|-0.1694648 1.253855 0.6327628|-1.70445 1.201154 0.6262798|-0.9051073 0.932638 0.4807853|-0.8831403 0.02187109 0.6426711|-1.051247 0.02026057 0.618395
-0.9214733 1.505904 0.6237717|-0.1695302 1.253744 0.6333301|-1.704384 1.199965 0.6265775|-0.9050481 0.9325871 0.4809222|-0.88322 0.0218811 0.642683|-1.051205 0.02024102 0.6184099
-0.9214799 1.505949 0.6238667|-0.1694911 1.25377 0.6335628|-1.704208 1.198966 0.6268662|-0.9049747 0.9326069 0.4810971|-0.8832376 0.02198291 0.6425695|-1.05118 0.02016997 0.6184678
-0.9214504 1.505946 0.6239412|-0.1695096 1.253366 0.6336845|-1.704235 1.19843 0.6273133|-0.9049842 0.9325914 0.4812171|-0.8831494 0.02196217 0.6426165|-1.05119 0.02018595 0.6184278
-0.921458 1.505983 0.6239924|-0.1694562 1.253303 0.6336595|-1.704158 1.197704 0.6278359|-0.9049375 0.9326609 0.481292|-0.8831947 0.02189565 0.6426001|-1.051182 0.02014065 0.6184223
-0.9214952 1.505967 0.6240199|-0.1694648 1.253088 0.6331626|-1.704345 1.197221 0.6282613|-0.90499 0.9326782 0.4813946|-0.883127 0.02201128 0.6424363|-1.051217 0.02022266 0.6184134
-0.9214885 1.506006 0.6240684|-0.1693289 1.253099 0.6326252|-1.704461 1.196542 0.6287678|-0.9049852 0.9327089 0.4815301|-0.8831193 0.02197075 0.6424022|-1.051216 0.02018857 0.6184186
-0.9214995 1.506004 0.6241528|-0.1692135 1.252936 0.632073|-1.704635 1.195876 0.6290716|-0.9050834 0.9327407 0.4816469|-0.8832576 0.02196383 0.6424816|-1.05119 0.02015495 0.6184092
-0.9214914 1.506006 0.6241798|-0.1690848 1.25297 0.6316187|-1.704733 1.195353 0.6288881|-0.9050491 0.9327648 0.481805|-0.8832924 0.0219543 0.6425196|-1.051232 0.02024293 0.6183226
-0.9215209 1.506011 0.6242611|-0.1689503 1.252917 0.6312646|-1.704756 1.194879 0.628768|-0.9049456 0.9327594 0.4819224|-0.8832309 0.02192616 0.642433|-1.05124 0.02021837 0.6183096
-0.9216444 1.506038 0.6243542|-0.1689184 1.252864 0.6310778|-1.704773 1.194469 0.6285566|-0.9048417 0.9327815 0.4820119|-0.8832271 0.02201152 0.6424648|-1.051183 0.02027011 0.618313
-0.9217174 1.50603 0.6244427|-0.1688855 1.252674 0.6309973|-1.704841 1.193938 0.6284541|-0.9047711 0.932812 0.4821217|-0.8833721 0.02203941 0.6424382|-1.051175 0.02023983 0.6183043
-0.9218385 1.506028 0.6245432|-0.1688879 1.252495 0.6310884|-1.704805 1.193355 0.6284913|-0.9046919 0.9327122 0.4822177|-0.8833272 0.02194953 0.6425602|-1.051208 0.02021265 0.6183456
